id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24704486,Room in beautiful villa #2,10741379,Moa,,Hägersten-Liljeholmens,59.30234877078726,17.95543906701735,Private room,189,14,1,2018-09-30,0.58,3,24
24704863,Very nice & bright 2 bedroom topflat in Stockholm,82008358,Nicolette,,Hägersten-Liljeholmens,59.29426542819505,17.983200382403,Entire home/apt,955,1,20,2018-08-12,4.00,1,0
24707335,Cosy apartment close to the city centre,186734729,Jesper,,Kungsholmens,59.3301681509883,18.0024660720336,Entire home/apt,513,2,5,2018-07-06,0.78,1,55
24715180,Couchsurf at the Stockholm riviera,2513113,Per,,Kungsholmens,59.339614610655495,18.009475575180986,Shared room,153,3,10,2018-07-27,1.64,2,0
24719558,Luxury appartment with sea view in Stockholm,85148226,Sessan,,Bromma,59.33915548477659,17.988454857929085,Entire home/apt,1801,1,1,2018-08-18,0.32,1,225
24721557,3 rums Lägenhet i mysiga SOFO 85 kvm med balkong.,25983936,Hanna,,Södermalms,59.30810573463298,18.0788709619272,Entire home/apt,1702,2,1,2018-05-23,0.16,1,0
24722195,"Room, kitchenette close to  globen, tele2.",57593772,Emil,,Farsta,59.25407747838299,18.103713956000576,Private room,396,1,27,2018-11-02,4.38,1,336
24723491,Fresh living. Plats mellan 1 - 3 personer.,68911516,Anneli,,Farsta,59.25924277004491,18.1275153930274,Private room,603,1,0,,,1,0
24723933,The green side of Stockholm,149443101,Hanna,,Enskede-Årsta-Vantörs,59.29694773524907,18.048581991645573,Private room,360,3,17,2018-09-22,2.87,1,4
24725989,Spacious room 25 mins from City Center,51520366,Rohit,,Spånga-Tensta,59.38975983726183,17.908886199376592,Private room,279,10,1,2018-05-27,0.17,3,0
24729202,Cozy Studio/10 min by metro from Sthlm Central,18084449,Caroline,,Skarpnäcks,59.29724574600593,18.09486426247623,Entire home/apt,576,3,10,2018-10-29,1.47,1,137
